Youtuber,subscribers,video views,uploads,Country,channel_type,lowest_yearly_earnings,earnings_midpoint,highest_yearly_earnings
첵첵첵첵첵첵첵첵 첵첵첵첵 첵첵첵첵첵첵첵첵첵첵첵첵첵첵,12900000,5585085130.0,1255,Ukraine,Entertainment,213400.0,1806700.0,3400000.0
Anitta,17200000,7337212581.0,138,Brazil,Music,218100.0,1859050.0,3500000.0
UFC - Ultimate Fighting Championship,16400000,7135820721.0,14662,United States,Sports,399600.0,3399800.0,6400000.0
Oyuncak Av챦쩔,15200000,8333387785.0,654,Turkey,Entertainment,13300.0,112900.0,212500.0
Henrique e Juliano,15500000,14619523361.0,325,Brazil,Music,491000.0,4195500.0,7900000.0
Jimmy Kimmel Live,19100000,13124645973.0,6526,United States,Comedy,51700.0,439650.0,827600.0
GMA Integrated News,13400000,9569814790.0,296272,Philippines,News,346400.0,2923200.0,5500000.0
Filaretiki,14800000,15788208522.0,2222,United States,People,3600000.0,30700000.0,57800000.0
Maluma,29300000,21226945136.0,14,Argentina,People,0.05,0.385,0.72
Enes Batur,16000000,9786595271.0,0,Unknown,Games,0.0,0.0,0.0
Kids Line챦쩔쩍챦쩔쩍챦쩔쩍챦쩔쩍챦쩔쩍챦쩔쩍챦쩔쩍,13300000,9088562002.0,2742,United States,Education,485700.0,4142850.0,7800000.0
CKN,18700000,12295637162.0,16,Spain,Music,0.31,2.655,5.0
Vijay Kumar Viner Vlogs,13500000,7958771872.0,1357,India,Entertainment,329400.0,2814700.0,5300000.0
W2S,16300000,4768370464.0,652,United Kingdom,Entertainment,9200.0,78500.0,147800.0
shfa2 - 챦쩔쩍챦쩔쩍,39700000,23884824160.0,1596,United Arab Emirates,People,743200.0,6321600.0,11900000.0
Avicii,20600000,10292874715.0,156,Sweden,Music,243700.0,2071850.0,3900000.0
CollegeHumor,14700000,7255848125.0,4340,United States,Comedy,0.0,0.0,0.0
KAROL G,32100000,18699145555.0,134,Colombia,Music,1400000.0,11900000.0,22400000.0
AboFlah,30500000,4521573939.0,641,Kuwait,Entertainment,473700.0,4036850.0,7600000.0
GMM GRAMMY OFFICIAL,23100000,25579831081.0,15462,Thailand,Music,390700.0,3345350.0,6300000.0
Peet Montzingo,13400000,10022557589.0,319,United States,People,1200000.0,10150000.0,19100000.0
Ben Azelart,21900000,4454917643.0,301,United States,Entertainment,554800.0,4727400.0,8900000.0
Coke Studio,14400000,4035738731.0,450,United States,Music,10700.0,90700.0,170700.0
Ishtar Music,41400000,17608931161.0,4510,India,Music,542800.0,4621400.0,8700000.0
Vlad and Niki IDN,21000000,9789121606.0,498,United States,Entertainment,400100.0,3400050.0,6400000.0
LIV Crime,20900000,11058049885.0,9850,United States,People,1200000.0,9800000.0,18400000.0
IndiaTV,35500000,16105023749.0,273255,India,News,872500.0,7436250.0,14000000.0
Preston,24000000,8279004442.0,4009,United States,Entertainment,455100.0,3877550.0,7300000.0
FAPTV,13700000,5457203710.0,863,Vietnam,Comedy,105400.0,902700.0,1700000.0
StarPlus,32000000,26800674545.0,44892,India,Entertainment,5000000.0,42500000.0,80000000.0
infobells - Telugu,28300000,14814192034.0,505,India,Education,864300.0,7332150.0,13800000.0
Planeta das G챦쩔쩍챦쩔쩍,14600000,4622581344.0,951,Brazil,Entertainment,31600.0,268950.0,506300.0
Ray William Johnson,15000000,10239836582.0,1803,United States,Comedy,938600.0,7969300.0,15000000.0
Morgz,12600000,3303595310.0,825,United Kingdom,Entertainment,176500.0,1488250.0,2800000.0
Sun TV,22600000,20847038152.0,60964,India,Entertainment,2900000.0,25000000.0,47100000.0
Veritasium,13900000,2165885634.0,369,United States,Education,132400.0,1116200.0,2100000.0
Heroindori,22600000,9223534599.0,495,India,Entertainment,1200000.0,10200000.0,19200000.0
ILYA BORZOV,15300000,9938811455.0,2175,Russia,People,1400000.0,12100000.0,22800000.0
Hero Movies 2023,12400000,1689090619.0,689,Unknown,People,65500.0,532750.0,1000000.0
Topper Guild,21900000,15552070846.0,816,United States,Comedy,2100000.0,17550000.0,33000000.0
whinderssonnunes,44200000,4274709210.0,558,Brazil,Comedy,80100.0,690050.0,1300000.0
Ultra Movie Parlour,22900000,5320485069.0,1670,India,Film,0.0,0.0,0.0
Blippi Espa챦쩔쩍챦,15500000,8984089026.0,598,Mexico,Education,270000.0,2285000.0,4300000.0
DM - Desi Melodies,15700000,5914071870.0,79,India,Music,425500.0,3612750.0,6800000.0
Bizarrap,20600000,7657171980.0,83,Argentina,Entertainment,579500.0,4939750.0,9300000.0
Canal KondZilla,66500000,36775585925.0,2572,Brazil,Music,0.0,0.0,0.0
Tips Official,59300000,33431802698.0,4741,India,Music,1300000.0,10800000.0,20300000.0
Cyprien,14400000,3086254545.0,222,France,Comedy,34300.0,291150.0,548000.0
Zee Music Company,96700000,57856289381.0,8548,India,Music,2400000.0,20500000.0,38600000.0
IGN,17500000,16107116549.0,156215,United States,Games,295000.0,2497500.0,4700000.0
